Description;Skill Type;Skill Cards Needed;Points Needed;HP Gain (Success);HP Loss (Failure)
Climb the ivy-covered wall;REFLEX;1;4;2;1
Convince the wounded guard to speak;CHARACTER;2;5;1;1
Dig through loose soil;ADVANCED;1;2;2;1
Calm the panicked villager;CHARACTER;1;4;2;1
Cross the unstable rope bridge;REFLEX;2;4;3;2
Translate the glyphs etched into stone;ADVANCED;1;6;2;2
Break open the sealed door;ADVANCED;2;5;2;2
Distract the creeping root beast;REFLEX;1;3;1;1
Steal from the merchant’s unattended stall;CHARACTER;1;3;2;2
Chase down the thief through narrow alleys;REFLEX;2;4;3;3
Patch the leaking boat;ADVANCED;1;2;2;1
Forage in the toxic garden;CHARACTER;1;3;2;2
Light the ancient brazier;ADVANCED;1;2;1;1
Bargain with the suspicious merchant;CHARACTER;1;5;2;1
Push aside the stone slab;ADVANCED;2;3;3;2
Memorize the complex ritual sequence;ADVANCED;1;6;2;2
Escape the collapsing tunnel;REFLEX;2;4;3;2
Hide from patrolling sentinels;REFLEX;1;3;2;1
Match the statue’s pose to open the door;ADVANCED;1;3;2;1
Improvise a distraction in the marketplace;CHARACTER;1;3;2;2
Navigate the misty ruins;REFLEX;1;3;2;1
Persuade the hermit to share knowledge;CHARACTER;2;4;1;2
Lift the rusted grate;ADVANCED;1;2;2;1
Comfort a crying child in the ruins;CHARACTER;1;3;2;1
Leap over a crumbled walkway;REFLEX;2;4;3;2
Decipher a crumbling scroll;ADVANCED;1;5;2;2
Force open the temple gate;ADVANCED;2;4;2;2
Evade the shadow beast;REFLEX;1;3;1;1
Pickpocket an overconfident traveler;CHARACTER;1;4;2;2
Run across a collapsing bridge;REFLEX;2;5;3;3
Seal a leaking alchemical pipe;ADVANCED;1;2;2;1
Hunt for edible roots;CHARACTER;1;3;2;2
Ignite a fire in heavy rain;ADVANCED;1;3;1;1
Charm a defensive local;CHARACTER;1;5;2;1
Move a fallen tree blocking the path;ADVANCED;2;3;3;2
Reconstruct a torn map;ADVANCED;1;5;2;2
Escape from an enchanted trap;REFLEX;2;4;3;2
Sneak through enemy patrol lines;REFLEX;1;3;2;1
Align ancient symbols to open a portal;ADVANCED;1;4;2;1
Perform a street distraction;CHARACTER;1;4;2;2
Sneak past a group of cultists;REFLEX;1;3;2;1
Heal a wounded ally with herbs;CHARACTER;1;4;2;1
Reinforce a crumbling ledge;ADVANCED;1;2;2;1
Find a hidden compartment in the wall;ADVANCED;1;3;1;1
Interrupt a magical ritual;REFLEX;2;5;3;3
Blend into a suspicious crowd;CHARACTER;1;3;2;2
Disable a simple mechanical trap;ADVANCED;1;2;2;1
Climb a jagged cliffside at night;REFLEX;2;4;3;2
Comfort a terrified survivor;CHARACTER;1;3;2;1
Sift through debris for supplies;ADVANCED;1;3;2;1
